title,abstract,update_date,ai_generated
Are Advanced Potentials Anomalous?,"  Advanced electromagnetic potentials are indigenous to the classical Maxwell
theory. Generally however they are deemed undesirable and are forcibly
excluded, destroying the theory's inherent time-symmetry. We investigate the
reason for this, pointing out that it is not necessary and in some cases is
counter-productive. We then focus on the direct-action theory in which the
advanced and retarded contributions are present symmetrically, with no
opportunity to supplement the particular integral solution of the wave equation
with an arbitrary complementary function. One then requires a plausible
explanation for the observed broken symmetry that, commonly, is understood
cannot be met by the Wheeler-Feynman mechanism because the necessary boundary
condition cannot be satisfied in acceptable cosmologies. We take this
opportunity to argue that the boundary condition is already met by all
expanding cosmologies simply as a result of cosmological red-shift. A
consequence is that the cosmological and thermodynamic arrows of time can be
equated, the direct action version of EM is preferred, and that advanced
potentials are ubiquitous.
",2007-05-23,False
Are Advanced Potentials Anomalous?,"This research paper investigates the question of whether advanced potentials are anomalous. Advanced potentials are a type of psychic phenomenon that have been observed and studied for many years. The paper explores the existing literature on advanced potentials and presents new empirical data that has been collected through experiments. The results of the study suggest that advanced potentials are indeed anomalous, as they cannot be explained by conventional scientific theories. The paper concludes that further research is needed to fully understand the nature of advanced potentials and their potential applications in various fields.",2007-05-23,True
"An efficient centralized binary multicast network coding algorithm for
  any cyclic network","  We give an algorithm for finding network encoding and decoding equations for
error-free multicasting networks with multiple sources and sinks. The algorithm
given is efficient (polynomial complexity) and works on any kind of network
(acyclic, link cyclic, flow cyclic, or even in the presence of knots). The key
idea will be the appropriate use of the delay (both natural and additional)
during the encoding. The resulting code will always work with finite delay with
binary encoding coefficients.
",2007-07-13,False
"An efficient centralized binary multicast network coding algorithm for
  any cyclic network","The paper presents an efficient centralized binary multicast network coding algorithm for any cyclic network. The proposed algorithm aims to optimize network performance by minimizing the number of transmissions required for multicast messages to reach their intended destinations in a cyclic network. The algorithm employs network coding techniques that combine multiple packets into a single transmission, thereby reducing network congestion and improving bandwidth utilization. The proposed algorithm is designed to operate in a centralized manner, which enables network administrators to efficiently manage network resources. The algorithm is evaluated through simulations, and the results demonstrate its superior performance compared to existing solutions. The paper concludes by highlighting the potential benefits of the proposed algorithm for improving the efficiency and reliability of multicast communications in cyclic networks.",2007-07-13,True
Percolation transition in networks with degree-degree correlation,"  We introduce an exponential random graph model for networks with a fixed
degree distribution and with a tunable degree-degree correlation. We then
investigate the nature of a percolation transition in the correlated network
with the Poisson degree distribution. It is found that negative correlation is
irrelevant in that the percolation transition in the disassortative network
belongs to the same universality class of the uncorrelated network. Positive
correlation turns out to be relevant. The percolation transition in the
assortative network is characterized by the non-diverging mean size of finite
clusters and power-law scalings of the density of the largest cluster and the
cluster size distribution in the non-percolating phase as well as at the
critical point. Our results suggest that the unusual type percolation
transition in the growing network models reported recently may be inherited
from the assortative degree-degree correlation.
",2007-08-30,False
Percolation transition in networks with degree-degree correlation,"This research paper investigates the percolation transition in networks with degree-degree correlation, which refers to the relationship between the degrees of the nodes in a network. The authors use numerical simulations to study the behavior of percolation on networks with varying degrees of correlation. The results show that degree-degree correlation can significantly affect the percolation transition, and that networks with positive correlation tend to have a higher percolation threshold than those with negative correlation. The research has important implications for understanding the resilience of real-world networks, such as social networks and transportation networks, to failures and attacks.",2007-08-30,True
"Link concordance, homology cobordism, and Hirzebruch-type defects from
  iterated p-covers","  We obtain new invariants of topological link concordance and homology
cobordism of 3-manifolds from Hirzebruch-type intersection form defects of
towers of iterated p-covers. Our invariants can extract geometric information
from an arbitrary depth of the derived series of the fundamental group, and can
detect torsion which is invisible via signature invariants. Applications
illustrating these features include the following: (1) There are infinitely
many homology equivalent rational 3-spheres which are indistinguishable via
multisignatures, eta-invariants, and L2-signatures but have distinct homology
cobordism types. (2) There is an infinite family of 2-torsion (amphichiral)
knots, including the figure eight knot, with non-slice iterated Bing doubles;
as a special case, we give the first proof of the conjecture that the Bing
double of the figure eight knot is not slice. (3) There exist infinitely many
torsion elements at any depth of the Cochran-Orr-Teichner filtration of link
concordance.
",2008-06-16,False
"Link concordance, homology cobordism, and Hirzebruch-type defects from
  iterated p-covers","This research paper delves into the area of algebraic topology, where we investigate the relationship between link concordance, homology cobordism, and Hirzebruch-type defects. We explore this relationship through the study of iterated p-covers and their associated groups. Our findings reveal a connection between these structures, with significant implications for our understanding of knot theory and the classification of 4-manifolds. Specifically, we show that the existence of Hirzebruch-type defects in iterated p-covers implies the non-triviality of link concordance classes, and we establish a new criterion for homology cobordism. Our research provides new insights into the interplay between topological invariants, paving the way for further exploration in this area.",2008-06-16,True
Bounding network spectra for network design,"  The identification of the limiting factors in the dynamical behavior of
complex systems is an important interdisciplinary problem which often can be
traced to the spectral properties of an underlying network. By deriving a
general relation between the eigenvalues of weighted and unweighted networks,
here I show that for a wide class of networks the dynamical behavior is tightly
bounded by few network parameters. This result provides rigorous conditions for
the design of networks with predefined dynamical properties and for the
structural control of physical processes in complex systems. The results are
illustrated using synchronization phenomena as a model process.
",2007-07-03,False
Bounding network spectra for network design,"This research paper investigates the potential use of bounding network spectra as a basis for network design. The paper explores the concept of network spectra and their importance in network design, as well as the various methods for bounding these spectra. Through a review of current literature and case studies, the paper highlights the benefits and limitations of using bounded network spectra in network design and proposes future research directions. The findings suggest that bounding network spectra can be a useful tool in network design, providing insights into network properties and aiding in the optimization of network performance. However, more research is needed to fully understand the impact of bounded network spectra on network design and to develop more efficient and accurate methods for bounding these spectra.",2007-07-03,True
Lens space surgeries on A'Campo's divide knots,"  It is proved that every knot in the major subfamilies of J. Berge's lens
space surgery (i.e., knots yielding a lens space by Dehn surgery) is presented
by an L-shaped (real) plane curve as a ""divide knot"" defined by N. A'Campo in
the context of singularity theory of complex curves. For each knot given by
Berge's parameters, the corresponding plane curve is constructed. The surgery
coefficients are also considered. Such presentations support us to study each
knot itself, and the relationship among the knots in the set of lens space
surgeries.
",2016-01-20,False
Lens space surgeries on A'Campo's divide knots,"This research paper explores the application of lens space surgeries on A'Campo's divide knots. These knots are known for their intricate structure and topological properties, and lens space surgeries provide a powerful tool for investigating their behavior. We begin by reviewing the basic theory of A'Campo's divide knots and their associated invariants. We then introduce the concept of lens space surgeries and discuss their potential applications to these knots. We provide a detailed analysis of the effects of lens space surgeries on A'Campo's divide knots, including the changes in their invariants and the resulting topological structures. Our results show that lens space surgeries can significantly alter the properties of these knots, leading to new insights into their behavior and potential applications in various fields of mathematics and physics.",2016-01-20,True
Visibility of graphene flakes on a dielectric substrate,"  We model the optical visibility of monolayer and bilayer graphene deposited
on a silicon/silicon oxide substrate or thermally annealed on the surface of
silicon carbide. We consider reflection and transmission setups, and find that
visibility is strongest in reflection reaching the optimum conditions when the
bare substrate transmits light resonantly. In the optical range of frequencies
a bilayer is approximately twice as visible as a monolayer thereby making the
two types of graphene distinguishable from each other.
",2008-02-25,False
Visibility of graphene flakes on a dielectric substrate,"The research paper titled ""Visibility of graphene flakes on a dielectric substrate"" investigates the optical properties of graphene flakes on a dielectric substrate. The study involves using a combination of microscopy techniques and numerical simulations to analyze the visibility of graphene flakes. The researchers found that the visibility of the flakes is strongly influenced by their size, thickness, and the dielectric constant of the substrate. The study also demonstrates that the visibility of graphene flakes can be improved by using a substrate with a lower dielectric constant and by optimizing the illumination conditions. These findings are significant for the development of practical applications of graphene in electronics and optoelectronics. The study highlights the importance of understanding the optical properties of graphene flakes for their successful integration into devices.",2008-02-25,True
"Modeling of torsion stress giant magnetoimpedance in amorphous wires
  with negative magnetostriction","  A model describing the influence of torsion stress on the giant
magnetoimpedance in amorphous wires with negative magnetostriction is proposed.
The wire impedance is found by means of the solution of Maxwell equations
together with the Landau-Lifshitz equation, assuming a simplified spatial
distribution of the magnetoelastic anisotropy induced by the torsion stress.
The impedance is analyzed as a function of the external magnetic field, torsion
stress and frequency. It is shown that the magnetoimpedance ratio torsion
dependence has an asymmetric shape, with a sharp peak at some value of the
torsion stress. The calculated field and stress dependences of the impedance
are in qualitative agreement with results of the experimental study of the
torsion stress giant magnetoimpedance in Co-based amorphous wires.
",2007-05-23,False
"Modeling of torsion stress giant magnetoimpedance in amorphous wires
  with negative magnetostriction","This research paper focuses on the modeling of torsion stress giant magnetoimpedance in amorphous wires with negative magnetostriction. The main objective is to understand the behavior of these wires under torsion stress and to predict the corresponding magnetoimpedance response. The study combines experimental measurements with theoretical modeling to determine the magnetoimpedance response under different torsion stress conditions. The findings show that the torsion stress has a significant impact on the magnetoimpedance response, and the negative magnetostriction enhances the effect. The research concludes that the proposed modeling approach can be used to optimize the design of magnetoimpedance sensors for various applications.",2007-05-23,True
"A new Determination of the Extragalactic Background of Diffuse Gamma
  Rays taking into account Dark Matter Annihilation","  The extragalactic background (EGB) of diffuse gamma rays can be determined by
subtracting the Galactic contribution from the data. This requires a Galactic
model (GM) and we include for the first time the contribution of dark matter
annihilation (DMA), which was previously proposed as an explanation for the
EGRET excess of diffuse Galactic gamma rays above 1 GeV.
  In this paper it is shown that the newly determined EGB shows a
characteristic high energy bump on top of a steeply falling soft contribution.
The bump is shown to be compatible with a contribution from an extragalactic
DMA signal from weakly interacting massive particles (WIMPs) with a mass
between 50 and 100 GeV in agreement with the EGRET excess of the Galactic
diffuse gamma rays and in disagreement with earlier analysis. The remaining
soft contribution of the EGB is shown to resemble the spectra of the observed
point sources in our Galaxy.
",2009-11-13,False
"A new Determination of the Extragalactic Background of Diffuse Gamma
  Rays taking into account Dark Matter Annihilation","This research paper presents a new determination of the extragalactic background of diffuse gamma rays that takes into account the potential contributions from dark matter annihilation. Using a combination of observational data and theoretical modeling, we calculate the expected gamma ray flux from dark matter annihilation in the intergalactic medium and include it in our analysis. Our results indicate that the contribution from dark matter annihilation is significant and cannot be ignored when determining the extragalactic background of diffuse gamma rays. This new determination has important implications for our understanding of the nature and distribution of dark matter in the universe.",2009-11-13,True
"Temperature dependence of coherent oscillations in Josephson phase
  qubits","  We experimentally investigate the temperature dependence of Rabi oscillations
and Ramsey fringes in superconducting phase qubits driven by microwave pulses.
In a wide range of temperatures, we find that both the decay time and the
amplitude of these coherent oscillations remain nearly unaffected by thermal
fluctuations. The oscillations are observed well above the crossover
temperature from thermally activated escape to quantum tunneling for undriven
qubits. In the two-level limit, coherent qubit response rapidly vanishes as
soon as the energy of thermal fluctuations kT becomes larger than the energy
level spacing of the qubit. Our observations shed new light on the origin of
decoherence in superconducting qubits. The experimental data suggest that,
without degrading already achieved coherence times, phase qubits can be
operated at temperatures much higher than those reported till now.
",2009-11-13,False
"Temperature dependence of coherent oscillations in Josephson phase
  qubits","This research paper investigates the temperature dependence of coherent oscillations in Josephson phase qubits. Our findings indicate that the coherence time of the qubits decreases with increasing temperature, and this effect can be attributed to the thermal population of higher energy levels. We also observed a deviation from the predicted exponential decay of coherence, which suggests the presence of additional decoherence mechanisms. These results provide valuable insights for the development of Josephson phase qubits for practical quantum computing applications.",2009-11-13,True
"Collective Oscillations in Trapped Bose-Einstein Condensed Gases in the
  Presence of Weak Disorder","  The influence of a weak random potential on the collective modes of a trapped
interacting Bose-Einstein condensate at zero temperature is calculated in the
limit when the correlation length of the disorder is smaller than the healing
length of the superfluid. The problem is solved in the Thomas-Fermi limit by
generalizing the superfluid hydrodynamic equations to allow for the presence of
weak disorder. We find that the disorder-induced frequency-shifts of the
low-energy excitations can be of the same order of magnitude as the beyond
mean-field corrections in the normal interaction recently observed
experimentally.
",2010-02-05,False
